policy_id,line_of_business,exposure_premium,accident_year,development_year,incremental_paid,cumulative_paid,incremental_incurred,cumulative_incurred,reported_year
P0001,Health,12828.63,2007,9,6086.86,78226.51,3556.79,45270.27,2015
P0001,Health,12828.63,2007,10,4322.15,82548.66,3894.82,49165.09,2016
P0001,Health,12828.63,2008,1,3309.78,3309.78,9968.89,9968.89,2008
P0001,Health,12828.63,2008,2,6419.55,9729.34,3386.21,13355.1,2009
P0001,Health,12828.63,2008,3,9385.42,19114.76,6819.99,20175.09,2010
P0001,Health,12828.63,2008,4,8832.53,27947.29,8546.21,28721.3,2011
P0001,Health,12828.63,2008,5,17521.334285376895,30745.95,33848.296723697684,32437.21,2012
P0001,Health,12828.63,2008,6,8436.3,39182.25,8431.77,40868.98,2013
P0001,Health,12828.63,2008,7,4927.38,44109.63,5970.78,46839.76,2014
P0001,Health,12828.63,2008,8,12228.92,56338.55,3635.14,50474.9,2015
P0001,Health,12828.63,2008,9,7333.16,63671.71,4774.14,55249.04,2016
P0001,Health,12828.63,2008,10,4293.32,67965.03,11868.55,67117.59,2017
P0001,Health,12828.63,2009,1,8910.49,8910.49,9720.19,9720.19,2009
P0001,Health,12828.63,2009,2,12469.34,21379.83,5581.46,15301.65,2010
P0001,Health,12828.63,2009,3,8059.13,29438.96,4426.29,19727.94,2011
P0001,Health,12828.63,2009,4,6273.63,35712.58,5021.09,24749.03,2012
P0001,Health,12828.63,2009,5,5351.28,41063.86,8342.46,33091.49,2013
P0001,Health,12828.63,2009,6,2819.85,43883.71,23793.66,56885.15,2014
P0001,Health,12828.63,2009,7,2472.49,46356.2,2350.94,59236.09,2015
P0001,Health,12828.63,2009,8,11247.16,57603.36,9572.67,68808.76,2016
P0001,Health,12828.63,2009,9,7739.38,65342.74,8538.54,77347.3,2017
P0001,Health,12828.63,2009,10,4957.32,70300.06,2934.89,80282.19,2018
P0001,Health,12828.63,2010,1,5272.48,5272.48,3423.74,3423.74,2010
P0001,Health,12828.63,2010,2,9894.92,15167.4,4962.0,8385.74,2011
P0001,Health,12828.63,2010,3,2805.52,17972.93,4391.97,12777.71,2012
P0001,Health,12828.63,2010,4,6675.81,24648.73,3706.7,16484.41,2013
P0001,Health,12828.63,2010,5,2811.97,27460.7,6522.97,23007.37,2014
P0001,Health,12828.63,2010,6,5935.28,33395.98,3856.99,26864.37,2015
P0001,Health,12828.63,2010,7,3595.6,36991.58,6470.04,33334.41,2016
P0001,Health,12828.63,2010,8,1814.44,38806.02,2053.45,35387.86,2017
P0001,Health,12828.63,2010,9,3023.84,41829.86,4736.67,40124.54,2018
P0001,Health,12828.63,2010,10,6215.67,48045.53,15448.28,55572.81,2019
P0001,Health,12828.63,2011,1,9113.89,9113.89,4917.46,4917.46,2011
P0001,Health,12828.63,2011,2,4933.88,14047.77,2726.39,7643.84,2012
P0001,Health,12828.63,2011,3,4935.62,18983.4,4493.75,12137.59,2013
P0001,Health,12828.63,2011,4,6267.27,25250.67,3082.33,15219.92,2014
P0001,Health,12828.63,2011,5,7192.08,32442.75,16081.43,31301.35,2015
P0001,Health,12828.63,2011,6,4633.47,37076.22,7285.94,38587.29,2016
P0001,Health,12828.63,2011,7,8105.47,45181.68,4153.26,42740.55,2017
P0001,Health,12828.63,2011,8,5849.19,51030.87,5548.7,48289.25,2018
P0001,Health,12828.63,2011,9,5353.82,56384.69,3201.57,51490.82,2019
P0001,Health,12828.63,2011,10,5086.53,61471.22,7793.94,59284.76,2020
P0001,Health,12828.63,2012,1,13807.87,13807.87,10764.33,10764.33,2012
P0001,Health,12828.63,2012,2,22570.99,36378.86,3214.28,13978.61,2013
P0001,Health,12828.63,2012,3,9207.91,45586.77,6253.16,20231.78,2014
P0001,Health,12828.63,2012,4,23157.07,68743.83,3123.45,23355.23,2015
P0001,Health,12828.63,2012,5,2777.73,71521.56,3615.29,26970.52,2016
P0001,Health,12828.63,2012,6,1130.56,72652.11,3806.54,30777.06,2017
P0001,Health,12828.63,2012,7,2938.93,75591.04,6110.59,36887.65,2018
P0001,Health,12828.63,2012,8,6351.35,81942.39,20451.73,57339.39,2019
P0001,Health,12828.63,2012,9,79329.77168075187,91667.73,35568.58982122712,61012.04,2020
P0001,Health,12828.63,2012,10,2665.92,94333.65,7760.85,68772.89,2021
P0001,Health,12828.63,2013,1,1984.32,1984.32,19821.54,19821.54,2013
P0001,Health,12828.63,2013,2,11416.34,13400.66,3960.32,23781.86,2014
P0001,Health,12828.63,2013,3,1507.19,14907.85,14188.88,37970.74,2015
P0001,Health,12828.63,2013,4,4614.76,19522.61,13081.77,51052.51,2016
P0001,Health,12828.63,2013,5,1637.77,21160.38,3615.34,54667.85,2017
P0001,Health,12828.63,2013,6,5018.39,26178.77,5683.88,60351.73,2018
P0001,Health,12828.63,2013,7,3648.78,29827.55,8505.76,68857.49,2019
P0001,Health,12828.63,2013,8,2368.14,32195.68,4978.27,73835.76,2020
P0001,Health,12828.63,2013,9,5439.27,37634.95,7884.16,81719.92,2021
P0001,Health,12828.63,2013,10,8228.21,45863.16,2503.02,84222.94,2022
P0001,Health,12828.63,2014,1,1708.4,1708.4,13451.92,13451.92,2014
P0001,Health,12828.63,2014,2,6309.51,8017.91,3257.0,16708.92,2015
P0001,Health,12828.63,2014,3,14809.14,22827.05,5963.87,22672.8,2016
P0001,Health,12828.63,2014,4,11415.2,34242.25,5766.19,28438.98,2017
P0001,Health,12828.63,2014,5,21156.8,55399.05,18793.04,47232.03,2018
P0001,Health,12828.63,2014,6,4200.33,59599.38,10857.41,58089.44,2019
P0001,Health,12828.63,2014,7,7855.4,67454.78,14336.23,72425.67,2020
P0001,Health,12828.63,2014,8,2544.65,69999.42,8890.51,81316.18,2021
P0001,Health,12828.63,2014,9,10489.08,80488.51,1605.81,82921.99,2022
P0001,Health,12828.63,2014,10,2184.0,82672.5,1319.54,84241.53,2023
P0001,Health,12828.63,2015,1,4140.65,4140.65,9088.66,9088.66,2015
P0001,Health,12828.63,2015,2,14311.85,18452.5,5792.79,14881.45,2016
P0001,Health,12828.63,2015,3,15634.32,34086.83,2093.16,16974.62,2017
P0001,Health,12828.63,2015,4,1517.51,35604.33,5290.25,22264.86,2018
P0001,Health,12828.63,2015,5,6542.27,42146.6,5375.55,27640.42,2019
P0001,Health,12828.63,2015,6,1176.13,43322.73,5167.37,32807.79,2020
P0001,Health,12828.63,2015,7,2006.33,45329.06,8789.16,41596.95,2021
P0001,Health,12828.63,2015,8,6462.76,51791.83,2848.61,44445.56,2022
P0001,Health,12828.63,2015,9,3489.4,55281.23,2620.33,47065.89,2023
P0001,Health,12828.63,2015,10,4785.37,60066.6,10733.26,57799.15,2024
P0001,Health,12828.63,2016,1,2507.86,2507.86,7827.01,7827.01,2016
P0001,Health,12828.63,2016,2,3449.6,5957.46,3157.36,10984.37,2017
P0001,Health,12828.63,2016,3,4639.08,10596.54,2664.67,13649.04,2018
P0001,Health,12828.63,2016,4,3393.57,13990.11,2377.94,16026.98,2019
P0001,Health,12828.63,2016,5,19781.47,33771.58,5637.45,21664.43,2020
P0001,Health,12828.63,2016,6,3063.72,36835.3,6388.72,28053.15,2021
P0001,Health,12828.63,2016,7,41638.96415492536,41457.21,45648.62330589215,32764.95,2022
P0001,Health,12828.63,2016,8,7685.65,49142.86,9346.51,42111.46,2023
P0001,Health,12828.63,2016,9,3449.01,52591.87,3675.45,45786.91,2024
P0001,Health,12828.63,2016,10,4124.32,56716.19,1097.9,46884.81,2025
P0001,Health,12828.63,2017,1,1731.18,1731.18,14318.61,14318.61,2017
P0001,Health,12828.63,2017,2,15814.31,17545.49,4620.13,18938.74,2018
P0001,Health,12828.63,2017,3,7485.95,25031.44,6838.87,25777.61,2019
P0001,Health,12828.63,2017,4,43148.79,68180.24,12042.6,37820.22,2020
P0001,Health,12828.63,2017,5,4571.75,72751.98,2817.56,40637.77,2021
P0001,Health,12828.63,2017,6,1624.05,74376.04,6341.86,46979.64,2022
P0001,Health,12828.63,2017,7,2944.66,77320.7,2032.3,49011.94,2023
P0001,Health,12828.63,2017,8,3179.86,80500.55,2579.68,51591.62,2024
P0001,Health,12828.63,2017,9,16288.14,96788.69,10194.98,61786.6,2025
P0001,Health,12828.63,2017,10,4972.17,101760.86,15497.97,77284.57,2026
P0001,Health,12828.63,2018,1,5278.26,5278.26,3009.73,3009.73,2018
P0001,Health,12828.63,2018,2,97995.25432149284,19799.68,41571.52447411441,11030.1,2019
P0001,Health,12828.63,2018,3,2419.03,22218.71,4813.92,15844.02,2020
P0001,Health,12828.63,2018,4,2708.8,24927.51,2089.21,17933.23,2021
P0001,Health,12828.63,2018,5,9561.67,34489.18,20933.27,38866.5,2022
P0001,Health,12828.63,2018,6,1878.44,36367.62,8156.59,47023.09,2023
P0001,Health,12828.63,2018,7,3170.81,39538.43,3910.87,50933.96,2024
P0001,Health,12828.63,2018,8,3302.77,42841.2,3004.03,53937.99,2025
P0001,Health,12828.63,2018,9,5172.74,48013.94,3074.32,57012.31,2026
P0001,Health,12828.63,2018,10,6042.14,54056.08,5309.94,62322.25,2027
P0001,Health,12828.63,2019,1,4229.88,4229.88,2913.79,2913.79,2019
P0001,Health,12828.63,2019,2,3339.09,7568.97,9332.68,12246.46,2020
P0001,Health,12828.63,2019,3,7099.89,14668.87,2774.47,15020.93,2021
P0001,Health,12828.63,2019,4,5360.04,20028.9,9306.56,24327.49,2022
P0001,Health,12828.63,2019,5,1554.03,21582.94,8045.4,32372.89,2023
P0001,Health,12828.63,2019,6,3144.33,24727.27,8200.27,40573.16,2024
P0001,Health,12828.63,2019,7,2930.45,27657.72,1554.77,42127.93,2025
P0001,Health,12828.63,2019,8,1600.25,29257.97,5688.28,47816.21,2026
P0001,Health,12828.63,2019,9,5996.91,35254.87,2920.42,50736.63,2027
P0001,Health,12828.63,2019,10,7818.19,43073.06,1718.9,52455.53,2028
P0001,Health,12828.63,2020,1,4773.99,4773.99,2356.17,2356.17,2020
P0001,Health,12828.63,2020,2,3168.17,7942.15,5685.55,8041.71,2021
P0001,Health,12828.63,2020,3,2737.78,10679.94,4201.99,12243.71,2022
P0001,Health,12828.63,2020,4,10113.21,20793.15,3672.69,15916.4,2023
P0001,Health,12828.63,2020,5,8974.82,29767.97,2494.16,18410.56,2024
P0001,Health,12828.63,2020,6,7244.92,37012.89,15087.19,33497.75,2025
P0001,Health,12828.63,2020,7,886.29,37899.18,3148.49,36646.24,2026
P0001,Health,12828.63,2020,8,7488.65,45387.83,4771.29,41417.52,2027
P0001,Health,12828.63,2020,9,6483.37,51871.19,3603.69,45021.21,2028
P0001,Health,12828.63,2020,10,5312.44,57183.63,4932.15,49953.36,2029
P0002,Auto,67276.94,2005,1,13588.27,13588.27,7886.59,7886.59,2005
P0002,Auto,67276.94,2005,2,7599.49,21187.76,4946.87,12833.47,2006
P0002,Auto,67276.94,2005,3,4264.97,25452.73,4875.77,17709.24,2007
P0002,Auto,67276.94,2005,4,7908.01,33360.74,4915.44,22624.68,2008
P0002,Auto,67276.94,2005,5,7349.28,40710.02,28214.9,50839.58,2009
P0002,Auto,67276.94,2005,6,11040.24,51750.26,5253.28,56092.86,2010
P0002,Auto,67276.94,2005,7,13910.02,65660.27,4960.06,61052.92,2011
P0002,Auto,67276.94,2005,8,1440.62,67100.89,3258.96,64311.88,2012
P0002,Auto,67276.94,2005,9,1619.64,68720.53,5160.38,69472.26,2013
P0002,Auto,67276.94,2005,10,6077.86,74798.39,21339.84,90812.1,2014
P0002,Auto,67276.94,2006,1,7542.91,7542.91,5661.56,5661.56,2006
P0002,Auto,67276.94,2006,2,10722.49,18265.4,1403.93,7065.49,2007
P0002,Auto,67276.94,2006,3,7075.86,25341.27,11321.18,18386.67,2008
P0002,Auto,67276.94,2006,4,2131.34,27472.6,14697.79,33084.46,2009
P0002,Auto,67276.94,2006,5,57606.59919321933,35076.85,28407.9609596449,38019.54,2010
P0002,Auto,67276.94,2006,6,9343.74,44420.59,32348.08,70367.62,2011
P0002,Auto,67276.94,2006,7,6814.59,51235.18,7852.44,78220.06,2012
P0002,Auto,67276.94,2006,8,4350.13,55585.31,3640.71,81860.77,2013
P0002,Auto,67276.94,2006,9,10729.47,66314.78,3624.84,85485.61,2014
P0002,Auto,67276.94,2006,10,6308.23,72623.01,4724.25,90209.86,2015
P0002,Auto,67276.94,2007,1,8390.04,8390.04,8336.41,8336.41,2007
P0002,Auto,67276.94,2007,2,12404.23,20794.27,4618.45,12954.86,2008
P0002,Auto,67276.94,2007,3,4967.15,25761.42,3326.55,16281.41,2009
P0002,Auto,67276.94,2007,4,4396.26,30157.68,8594.99,24876.4,2010
P0002,Auto,67276.94,2007,5,10192.49,40350.18,3460.99,28337.39,2011
P0002,Auto,67276.94,2007,6,11028.51,51378.68,17047.71,45385.1,2012
P0002,Auto,67276.94,2007,7,8013.79,59392.48,24552.82,69937.92,2013
P0002,Auto,67276.94,2007,8,3490.72,62883.19,2761.6,72699.53,2014
P0002,Auto,67276.94,2007,9,1727.47,64610.66,18808.35,91507.87,2015
P0002,Auto,67276.94,2007,10,9485.98,74096.64,6348.13,97856.0,2016
P0002,Auto,67276.94,2008,1,7299.0,7299.0,3001.85,3001.85,2008
P0002,Auto,67276.94,2008,2,33241.06,40540.06,7224.84,10226.68,2009
P0002,Auto,67276.94,2008,3,6477.51,47017.57,10969.36,21196.05,2010
P0002,Auto,67276.94,2008,4,8401.97,55419.54,7719.8,28915.85,2011
P0002,Auto,67276.94,2008,5,3450.18,58869.72,9180.65,38096.49,2012
P0002,Auto,67276.94,2008,6,22402.59,81272.31,16926.22,55022.71,2013
P0002,Auto,67276.94,2008,7,18301.63,99573.94,4614.57,59637.28,2014
P0002,Auto,67276.94,2008,8,3001.27,102575.21,6043.71,65680.99,2015
P0002,Auto,67276.94,2008,9,6238.67,108813.88,14196.62,79877.61,2016
P0002,Auto,67276.94,2008,10,1834.98,110648.86,19254.69,99132.3,2017
P0002,Auto,67276.94,2009,1,5371.75,5371.75,4895.19,4895.19,2009
P0002,Auto,67276.94,2009,2,2954.37,8326.12,2072.32,6967.51,2010
P0002,Auto,67276.94,2009,3,10675.79,19001.92,6947.57,13915.08,2011
P0002,Auto,67276.94,2009,4,2432.18,21434.09,2665.83,16580.91,2012
P0002,Auto,67276.94,2009,5,4743.19,26177.29,21229.35,37810.26,2013
P0002,Auto,67276.94,2009,6,5003.04,31180.32,2304.51,40114.78,2014
P0002,Auto,67276.94,2009,7,5051.77,36232.1,5452.98,45567.76,2015
P0002,Auto,67276.94,2009,8,908.41,37140.51,6353.86,51921.63,2016
P0002,Auto,67276.94,2009,9,5104.41,42244.92,10744.72,62666.34,2017
P0002,Auto,67276.94,2009,10,21889.97,64134.89,14522.01,77188.35,2018
P0002,Auto,67276.94,2010,1,4970.58,4970.58,3041.96,3041.96,2010
P0002,Auto,67276.94,2010,2,36346.99,41317.57,6879.34,9921.3,2011
P0002,Auto,67276.94,2010,3,6058.79,47376.36,6489.48,16410.78,2012
P0002,Auto,67276.94,2010,4,6892.4,54268.76,5965.65,22376.42,2013
P0002,Auto,67276.94,2010,5,4015.64,58284.39,4500.86,26877.28,2014
P0002,Auto,67276.94,2010,6,5864.0,64148.4,4511.69,31388.97,2015
P0002,Auto,67276.94,2010,7,3642.85,67791.25,7110.49,38499.46,2016
P0002,Auto,67276.94,2010,8,5019.22,72810.47,18913.29,57412.75,2017
P0002,Auto,67276.94,2010,9,938.08,73748.55,14169.96,71582.71,2018
P0002,Auto,67276.94,2010,10,14353.86,88102.42,1546.04,73128.75,2019
P0002,Auto,67276.94,2011,1,4720.33,4720.33,5088.9,5088.9,2011
P0002,Auto,67276.94,2011,2,2240.06,6960.38,3828.98,8917.87,2012
P0002,Auto,67276.94,2011,3,2757.59,9717.97,22503.23,31421.11,2013
P0002,Auto,67276.94,2011,4,11550.56,21268.54,16073.28,47494.39,2014
P0002,Auto,67276.94,2011,5,9943.61,31212.14,2994.37,50488.76,2015
P0002,Auto,67276.94,2011,6,4156.18,35368.32,9296.44,59785.2,2016
P0002,Auto,67276.94,2011,7,2550.45,37918.77,10871.76,70656.96,2017
P0002,Auto,67276.94,2011,8,5070.97,42989.74,5076.87,75733.83,2018
P0002,Auto,67276.94,2011,9,9869.32,52859.06,9007.47,84741.3,2019
P0002,Auto,67276.94,2011,10,4660.32,57519.38,14858.92,99600.22,2020
P0002,Auto,67276.94,2012,1,2815.15,2815.15,10157.62,10157.62,2012
P0002,Auto,67276.94,2012,2,9087.78,11902.93,5314.22,15471.85,2013
P0002,Auto,67276.94,2012,3,7538.72,19441.65,2749.15,18220.99,2014
P0002,Auto,67276.94,2012,4,11456.74,30898.39,5798.73,24019.72,2015
P0002,Auto,67276.94,2012,5,4161.41,35059.8,13754.64,37774.36,2016
P0002,Auto,67276.94,2012,6,3664.6,38724.4,2462.43,40236.78,2017
P0002,Auto,67276.94,2012,7,2018.02,40742.42,10087.29,50324.08,2018
P0002,Auto,67276.94,2012,8,2448.46,43190.88,22543.02,72867.1,2019
P0002,Auto,67276.94,2012,9,1397.11,44587.99,21640.99,94508.09,2020
P0002,Auto,67276.94,2012,10,6955.08,51543.07,6167.97,100676.06,2021
P0002,Auto,67276.94,2013,1,4097.25,4097.25,8727.38,8727.38,2013
P0002,Auto,67276.94,2013,2,5844.0,9941.25,14287.44,23014.82,2014
P0002,Auto,67276.94,2013,3,6499.46,16440.71,7332.24,30347.06,2015
P0002,Auto,67276.94,2013,4,4651.69,21092.4,6342.09,36689.14,2016
P0002,Auto,67276.94,2013,5,7442.6,28535.0,1993.62,38682.76,2017
P0002,Auto,67276.94,2013,6,2335.04,30870.04,11104.55,49787.31,2018
P0002,Auto,67276.94,2013,7,6762.31,37632.36,5802.46,55589.76,2019
P0002,Auto,67276.94,2013,8,6077.92,43710.28,8418.04,64007.8,2020
P0002,Auto,67276.94,2013,9,4112.07,47822.36,3827.67,67835.47,2021
P0002,Auto,67276.94,2013,10,6881.6,54703.96,3327.46,71162.93,2022
P0002,Auto,67276.94,2014,1,7984.77,7984.77,2004.23,2004.23,2014
P0002,Auto,67276.94,2014,2,12331.64,20316.41,9187.9,11192.14,2015
P0002,Auto,67276.94,2014,3,7177.71,27494.12,13130.7,24322.84,2016
P0002,Auto,67276.94,2014,4,148595.66401271566,46745.67,85271.26261172147,37747.98,2017
P0002,Auto,67276.94,2014,5,1653.92,48399.59,2694.91,40442.89,2018
P0002,Auto,67276.94,2014,6,3874.38,52273.97,6721.65,47164.54,2019
P0002,Auto,67276.94,2014,7,8620.31,60894.28,3971.12,51135.66,2020
P0002,Auto,67276.94,2014,8,6838.01,67732.29,3889.58,55025.24,2021
P0002,Auto,67276.94,2014,9,3910.62,71642.91,2465.53,57490.77,2022
P0002,Auto,67276.94,2014,10,3144.0,74786.91,2562.26,60053.03,2023
P0002,Auto,67276.94,2015,1,3030.26,3030.26,13799.31,13799.31,2015
P0002,Auto,67276.94,2015,2,3086.94,6117.2,41668.15,55467.47,2016
P0002,Auto,67276.94,2015,3,8474.67,14591.87,7511.65,62979.11,2017
P0002,Auto,67276.94,2015,4,3290.07,17881.94,10775.62,73754.74,2018
P0002,Auto,67276.94,2015,5,4010.09,21892.03,7188.46,80943.2,2019
P0002,Auto,67276.94,2015,6,36010.79,57902.82,6170.8,87113.99,2020
P0002,Auto,67276.94,2015,7,13413.35,71316.17,4034.35,91148.34,2021
P0002,Auto,67276.94,2015,8,5854.83,77171.01,22797.03,113945.37,2022
P0002,Auto,67276.94,2015,9,3868.56,81039.57,23471.42,137416.79,2023
P0002,Auto,67276.94,2015,10,9847.19,90886.76,4451.95,141868.75,2024
P0002,Auto,67276.94,2016,1,9341.29,9341.29,13037.86,13037.86,2016
P0002,Auto,67276.94,2016,2,9272.25,18613.55,2198.8,15236.67,2017
P0002,Auto,67276.94,2016,3,3606.59,22220.14,5550.05,20786.71,2018
P0002,Auto,67276.94,2016,4,44980.792985872176,27915.53,82844.43143099642,30978.07,2019
P0002,Auto,67276.94,2016,5,6794.75,34710.28,2591.74,33569.81,2020
P0002,Auto,67276.94,2016,6,7829.49,42539.77,10119.66,43689.47,2021
P0002,Auto,67276.94,2016,7,8878.32,51418.09,14063.97,57753.44,2022
P0002,Auto,67276.94,2016,8,10756.44,62174.53,9102.01,66855.45,2023
P0002,Auto,67276.94,2016,9,5712.42,67886.95,2063.49,68918.94,2024
P0002,Auto,67276.94,2016,10,8105.09,75992.04,7632.77,76551.71,2025
P0002,Auto,67276.94,2017,1,7256.26,7256.26,2700.25,2700.25,2017
P0002,Auto,67276.94,2017,2,2815.16,10071.42,13794.59,16494.85,2018
P0002,Auto,67276.94,2017,3,5836.15,15907.57,10634.68,27129.52,2019
P0002,Auto,67276.94,2017,4,6120.12,22027.69,6738.92,33868.44,2020
P0002,Auto,67276.94,2017,5,11571.65,33599.34,4599.0,38467.44,2021
P0002,Auto,67276.94,2017,6,6417.6,40016.94,4775.4,43242.83,2022
P0002,Auto,67276.94,2017,7,4426.51,44443.46,5315.62,48558.45,2023
P0002,Auto,67276.94,2017,8,7009.41,51452.86,4720.65,53279.1,2024
P0002,Auto,67276.94,2017,9,14451.36,65904.23,3528.4,56807.5,2025
P0002,Auto,67276.94,2017,10,5264.31,71168.53,4851.35,61658.85,2026
P0002,Auto,67276.94,2018,1,16521.19,16521.19,7573.52,7573.52,2018
P0002,Auto,67276.94,2018,2,12354.87,28876.07,2333.05,9906.57,2019
P0002,Auto,67276.94,2018,3,7233.29,36109.36,12302.61,22209.18,2020
P0002,Auto,67276.94,2018,4,6355.74,42465.1,13914.14,36123.32,2021
P0002,Auto,67276.94,2018,5,4177.27,46642.37,17700.85,53824.18,2022
P0002,Auto,67276.94,2018,6,29993.72,76636.09,5119.63,58943.81,2023
P0002,Auto,67276.94,2018,7,4392.54,81028.63,18255.0,77198.81,2024
P0002,Auto,67276.94,2018,8,18128.04,99156.68,4577.11,81775.92,2025
P0002,Auto,67276.94,2018,9,4471.07,103627.75,5418.51,87194.42,2026
P0002,Auto,67276.94,2018,10,2341.15,105968.9,3469.51,90663.93,2027
P0002,Auto,67276.94,2019,1,2970.89,2970.89,3855.93,3855.93,2019
P0002,Auto,67276.94,2019,2,5856.08,8826.97,7775.83,11631.75,2020
P0002,Auto,67276.94,2019,3,17762.86,26589.83,3281.24,14913.0,2021
P0002,Auto,67276.94,2019,4,11950.64,38540.47,5681.85,20594.85,2022
P0002,Auto,67276.94,2019,5,5795.81,44336.28,10585.06,31179.91,2023
P0002,Auto,67276.94,2019,6,2734.24,47070.52,8625.79,39805.7,2024
P0002,Auto,67276.94,2019,7,6741.46,53811.98,9316.49,49122.18,2025
P0002,Auto,67276.94,2019,8,7346.16,61158.13,36810.38,85932.56,2026
P0002,Auto,67276.94,2019,9,3839.5,64997.63,4551.11,90483.67,2027
P0002,Auto,67276.94,2019,10,3878.94,68876.57,4473.79,94957.46,2028
P0002,Auto,67276.94,2020,1,3840.45,3840.45,15170.93,15170.93,2020
P0002,Auto,67276.94,2020,2,16217.85,20058.3,4426.23,19597.16,2021
P0002,Auto,67276.94,2020,3,3350.5,23408.8,9180.31,28777.46,2022
P0002,Auto,67276.94,2020,4,4076.36,27485.15,10279.19,39056.66,2023
P0002,Auto,67276.94,2020,5,6915.78,34400.93,2284.28,41340.93,2024
P0002,Auto,67276.94,2020,6,17725.66,52126.59,23200.74,64541.67,2025
P0002,Auto,67276.94,2020,7,3907.15,56033.74,5031.3,69572.97,2026
P0002,Auto,67276.94,2020,8,7329.19,63362.93,8341.05,77914.02,2027
P0002,Auto,67276.94,2020,9,9513.77,72876.7,26956.19,104870.21,2028
P0002,Auto,67276.94,2020,10,5301.0,78177.71,3774.48,108644.69,2029
P0003,Property,38292.04,2005,1,3807.84,3807.84,6594.55,6594.55,2005
P0003,Property,38292.04,2005,2,9770.78,13578.62,38632.19,45226.74,2006
P0003,Property,38292.04,2005,3,6960.54,20539.16,12865.47,58092.21,2007
P0003,Property,38292.04,2005,4,9885.7,30424.86,25273.86,83366.07,2008
P0003,Property,38292.04,2005,5,58641.22,89066.07,7585.87,90951.94,2009
P0003,Property,38292.04,2005,6,7099.17,96165.24,22846.73,113798.66,2010
P0003,Property,38292.04,2005,7,16117.56,112282.8,40068.5,153867.16,2011
P0003,Property,38292.04,2005,8,15049.35,127332.15,8553.93,162421.09,2012
P0003,Property,38292.04,2005,9,15120.38,142452.53,23902.61,186323.7,2013
P0003,Property,38292.04,2005,10,17759.54,160212.06,15689.43,202013.13,2014
P0003,Property,38292.04,2006,1,21099.67,21099.67,24938.24,24938.24,2006
P0003,Property,38292.04,2006,2,26313.88,47413.55,17322.26,42260.49,2007
P0003,Property,38292.04,2006,3,8896.01,56309.55,12189.74,54450.24,2008
P0003,Property,38292.04,2006,4,23269.45,79579.0,6209.25,60659.49,2009
P0003,Property,38292.04,2006,5,12944.31,92523.31,8352.48,69011.96,2010
P0003,Property,38292.04,2006,6,10203.25,102726.56,26918.44,95930.4,2011
P0003,Property,38292.04,2006,7,11431.29,114157.86,11363.44,107293.84,2012
P0003,Property,38292.04,2006,8,3860.07,118017.93,18546.35,125840.19,2013
P0003,Property,38292.04,2006,9,15711.99,133729.92,50007.53,175847.71,2014
P0003,Property,38292.04,2006,10,8061.83,141791.74,12823.77,188671.49,2015
P0003,Property,38292.04,2007,1,11907.32,11907.32,33185.48,33185.48,2007
